订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现
DD201707291635217248C37B49F0F,E43A6E078A04172,3,3,雪碧（500ml）,2017/7/27 13:09,A,已出货未退款,已提现
DD201708167493429402033105689,E43A6E078A04172,3,3,250ml维他奶巧克力味,2017/7/27 13:14,A,已出货未退款,已提现
DD2017073012075137EE0EFA28EAD,E43A6E078A04172,2,2,怡宝纯净水,2017/7/27 13:14,A,已出货未退款,已提现
DD201708091517224282396726D93,E43A6E078A04134,3.5,3.5,统一冰红茶,2017/7/27 13:28,B,已出货未退款,已提现
DD20170730111615699BBE6099CFA,E43A6E078A04228,3.5,3.5,可口可乐330ml,2017/7/27 13:44,C,已出货未退款,已提现
DD2017050212231813B188D02DF43,E43A6E078A06874,2,2,怡宝纯净水,2017/7/27 13:44,E,已出货未退款,已提现
DD201708167493621482430887587,E43A6E078A04228,4.5,4.5,250ml燕塘甜牛奶,2017/7/27 13:58,C,已出货未退款,已提现
DD20170624121410843515CF477CB,E43A6E078A06874,6,6,红牛,2017/7/27 13:58,E,已出货未退款,已提现
DD20170823205329802F04DC460D6,E43A6E078A07631,2,2,怡宝纯净水,2017/7/27 14:50,D,已出货未退款,已提现
DD201707221449466521A534CA744,E43A6E078A06874,4,4,果粒橙,2017/7/27 14:52,E,已出货未退款,已提现
DD20170704184459819F750757289,E43A6E078A06874,2.5,2.5,伊利优酸乳,2017/7/27 15:19,E,已出货未退款,已提现
DD201707272141463757841C6DE34,E43A6E078A06874,3,3,怡宝纯净水,2017/7/27 15:20,E,已出货未退款,已提现
DD2017072819323791241540E71C4,E43A6E078A04172,3,3,统一冰红茶,2017/7/27 15:21,A,已出货未退款,已提现
DD20170718182418739D931D75EE0,E43A6E078A04172,4,4,阿萨姆奶茶,2017/7/27 15:23,A,已出货未退款,已提现
DD201708167493334269830002839,E43A6E078A06874,6.5,6.5,430g泰奇八宝粥,2017/7/27 15:27,E,已出货未退款,已提现
DD201708167493401484049790025,E43A6E078A06874,6,6,86g合味道海鲜风味,2017/7/27 15:27,E,已出货未退款,已提现
DD201707252123588529D7D3515A1,E43A6E078A06874,4,4,王老吉（罐）,2017/7/27 15:27,E,已出货未退款,已提现
DD201708092039563014D79129F47,E43A6E078A06874,3,3,熊字饼,2017/7/27 15:34,E,已出货未退款,已提现
DD201708167493304844366738052,E43A6E078A06874,2.5,2.5,250ml王老吉盒装,2017/7/27 15:37,E,已出货未退款,已提现
DD201708167493337099941505652,E43A6E078A06874,1.8,1.8,600ml雪碧,2017/7/27 15:37,E,已出货未退款,已提现
DD20170724222604131B829A201E6,E43A6E078A06874,4,4,统一冰红茶,2017/7/27 15:37,E,已出货未退款,已提现
DD201708167493834977804092132,E43A6E078A04172,2.5,2.5,30g元朗小蛋卷,2017/7/27 15:39,A,已出货未退款,已提现
DD201708167493429240470603184,E43A6E078A04172,4.5,4.5,80g香飘飘椰果奶茶麦香味,2017/7/27 15:39,A,已出货未退款,已提现
DD201708167493428992836990858,E43A6E078A04172,4.5,4.5,燕塘甜牛奶,2017/7/27 15:39,A,已出货未退款,已提现
DD201705021041159141CD6AAF41A,E43A6E078A04172,3,3,印尼芝士威化饼干,2017/7/27 15:39,A,已出货未退款,已提现
DD201708167493429373622599561,E43A6E078A04228,3,3,250ml维他原味豆奶,2017/7/27 15:39,C,已出货未退款,已提现
DD201708167493429377817212761,E43A6E078A04228,4.5,4.5,78g卫龙亲嘴语辣条,2017/7/27 15:39,C,已出货未退款,已提现
DD2017073010474829B9EEA05023A,E43A6E078A04228,5,5,脉动,2017/7/27 15:39,C,已出货未退款,已提现
DD20170708102318263EB58794DED,E43A6E078A04228,2,2,怡宝纯净水,2017/7/27 15:41,C,已出货未退款,已提现
DD201708167493873401699673813,E43A6E078A06874,7,7,150g洽洽原香瓜子,2017/7/27 15:41,E,已出货未退款,已提现
DD20170816749323756439534048,E43A6E078A06874,3,3,20g咪咪虾条马来西亚风味,2017/7/27 15:41,E,已出货未退款,已提现
DD201708167493832518598861733,E43A6E078A04228,2.5,2.5,30g元朗小蛋卷,2017/7/27 15:44,C,已出货未退款,已提现
DD201708167493428786426781171,E43A6E078A04228,5,5,500ml统一阿萨姆奶茶,2017/7/27 15:44,C,已出货未退款,已提现
DD201708167493428775025076667,E43A6E078A04228,4.5,4.5,68g好丽友蛋黄派2枚,2017/7/27 15:44,C,已出货未退款,已提现
DD201708167493428758709744787,E43A6E078A04228,9,9,78g卫龙亲嘴语辣条,2017/7/27 15:44,C,已出货未退款,已提现
DD20170730102151818C5229E47A5,E43A6E078A04228,3,3,怡宝纯净水,2017/7/27 15:44,C,已出货未退款,已提现
DD201707311531094527F834C0BDA,E43A6E078A06874,4,4,王老吉（500ml）,2017/7/27 15:52,E,已出货未退款,已提现
DD20170825200351799FA48269AA0,E43A6E078A04228,3.5,3.5,伊利优酸乳,2017/7/27 15:54,C,已出货未退款,已提现
DD201708167493160221537833649,E43A6E078A06874,8,8,600ml脉动青柠,2017/7/27 15:55,E,已出货未退款,已提现
DD2017070416240812BD6949B8880,E43A6E078A06874,4.5,4.5,王老吉（500ml）,2017/7/27 15:55,E,已出货未退款,已提现
DD20170710210220314A9F862DE00,E43A6E078A07631,4,4,脉动,2017/7/27 15:56,D,已出货未退款,已提现
DD2017071910295990379A33C3EF2,E43A6E078A07631,6,6,红牛,2017/7/27 16:02,D,已出货未退款,已提现
DD2017073010160982D23D03F991E,E43A6E078A07631,3,3,可口可乐330ml,2017/7/27 16:04,D,已出货未退款,已提现
DD2017050208131518D5BE24E423E,E43A6E078A06874,3,3,茉莉蜜茶,2017/7/27 16:04,E,已出货未退款,已提现
DD201708167493427806376102766,E43A6E078A07631,3,3,13g无穷烤鸡小腿蜂蜜味,2017/7/27 16:05,D,已出货未退款,已提现
DD2017080820145628143C026D592,E43A6E078A06874,3,3,卫龙大面筋,2017/7/27 16:08,E,已出货未退款,已提现
DD2017080903101649A7CB182A567,E43A6E078A04172,4,4,阿萨姆奶茶,2017/7/27 16:09,A,已出货未退款,已提现
DD201708167493830402601249379,E43A6E078A04228,2.5,2.5,30g元朗小蛋卷,2017/7/27 16:10,C,已出货未退款,已提现
DD20170730101429665CB64C45AB6,E43A6E078A04228,3,3,怡宝纯净水,2017/7/27 16:10,C,已出货未退款,已提现
DD20170502075135164FFB61F3CA8,E43A6E078A06874,2.5,2.5,可口可乐330ml,2017/7/27 16:10,E,已出货未退款,已提现
DD2017050207212518585AA879619,E43A6E078A04228,4,4,脉动,2017/7/27 16:11,C,已出货未退款,已提现
DD20170730101404775254FB1152E,E43A6E078A07631,3,3,卫龙大面筋,2017/7/27 16:11,D,已出货未退款,已提现
DD2017050207511099220C163B53E,E43A6E078A06874,3.5,3.5,东鹏特饮,2017/7/27 16:11,E,已出货未退款,已提现
DD20170816749359495295239764,E43A6E078A04134,5,5,85g统一老坛酸菜牛肉面,2017/7/27 16:13,B,已出货未退款,已提现
DD201708167493428173060208715,E43A6E078A04228,3,3,250ml维他奶低糖原味,2017/7/27 16:13,C,已出货未退款,已提现
DD201708167493819077335726388,E43A6E078A04228,2.5,2.5,30g元朗小蛋卷,2017/7/27 16:13,C,已出货未退款,已提现
DD20170502032414450486EA60BCA,E43A6E078A04228,4,4,脉动,2017/7/27 16:13,C,已出货未退款,已提现
DD20170816749342834262458081,E43A6E078A04228,7,7,泰奇八宝粥,2017/7/27 16:13,C,已出货未退款,已提现
DD20170730101326716771AE43FCC,E43A6E078A07631,3,3,卫龙大面筋,2017/7/27 16:13,D,已出货未退款,已提现
DD201708167493428044520470797,E43A6E078A04172,6.5,6.5,250ml红牛,2017/7/27 16:14,A,已出货未退款,已提现
DD201708167493428014621728658,E43A6E078A04172,4.5,4.5,250ml燕塘甜牛奶,2017/7/27 16:14,A,已出货未退款,已提现
DD201708167493816118899721773,E43A6E078A04172,2.5,2.5,30g元朗小蛋卷,2017/7/27 16:14,A,已出货未退款,已提现
DD201708167493427794573669971,E43A6E078A04172,3.5,3.5,600ml可口可乐,2017/7/27 16:14,A,已出货未退款,已提现
DD2017050203221854482D08DE006,E43A6E078A04172,2,2,怡宝纯净水,2017/7/27 16:14,A,已出货未退款,已提现
DD201708167493428148582168889,E43A6E078A04228,6,6,250ml红牛,2017/7/27 16:14,C,已出货未退款,已提现
DD201708167493815244495739947,E43A6E078A04228,2.5,2.5,30g元朗小蛋卷,2017/7/27 16:14,C,已出货未退款,已提现
DD201708167493428091817943928,E43A6E078A04228,4,4,85g新麦潮北海道吐司,2017/7/27 16:14,C,已出货未退款,已提现
DD201705020323298009BC4A12F18,E43A6E078A04228,4,4,脉动,2017/7/27 16:14,C,已出货未退款,已提现
DD2017073010080894C4647305C7C,E43A6E078A07631,4,4,脉动,2017/7/27 16:14,D,已出货未退款,已提现
DD2017050202344957784275026C7,E43A6E078A06874,3,3,统一冰红茶,2017/7/27 16:14,E,已出货未退款,已提现
DD20170816749381339325045318,E43A6E078A04172,2.5,2.5,30g元朗小蛋卷,2017/7/27 16:15,A,已出货未退款,已提现
DD2017050202342014CA19EEA2996,E43A6E078A04172,3,3,可口可乐（500ml）,2017/7/27 16:15,A,已出货未退款,已提现
DD201707300946533605B7D1AFFFD,E43A6E078A04228,5,5,王老吉（500ml）,2017/7/27 16:15,C,已出货未退款,已提现
DD201708167493567507681282319,E43A6E078A06874,5.5,5.5,430g泰奇八宝粥,2017/7/27 16:15,E,已出货未退款,已提现
DD201708167493427653596860547,E43A6E078A04172,2.5,2.5,30g元朗小蛋卷,2017/7/27 16:16,A,已出货未退款,已提现
DD201708167493427601719895296,E43A6E078A04172,8,8,85g新麦潮北海道吐司,2017/7/27 16:16,A,已出货未退款,已提现
DD20170502023334139B127A1CD74,E43A6E078A04172,3,3,雪碧（500ml）,2017/7/27 16:16,A,已出货未退款,已提现
DD20170730094619929A58341F0B0,E43A6E078A04228,3,3,伊利优酸乳,2017/7/27 16:16,C,已出货未退款,已提现
DD201708167493686572193388451,E43A6E078A06874,5.5,5.5,85g统一老坛酸菜牛肉面,2017/7/27 16:16,E,已出货未退款,已提现
DD201708167493403015824607457,E43A6E078A04172,2.5,2.5,30g元朗小蛋卷,2017/7/27 16:17,A,已出货未退款,已提现
DD201708167493427455626979235,E43A6E078A04172,1.8,1.8,32g卫龙亲嘴烧红烧牛肉味,2017/7/27 16:17,A,已出货未退款,已提现
DD2017050202325541C6ABC21D5C3,E43A6E078A04172,2.5,2.5,美年达（罐）,2017/7/27 16:17,A,已出货未退款,已提现
DD201708167493852067122562957,E43A6E078A04134,3.5,3.5,78g卫龙亲嘴语辣条,2017/7/27 16:17,B,已出货未退款,已提现
DD201708167493426673395314563,E43A6E078A04228,2.5,2.5,250ml王老吉盒装,2017/7/27 16:17,C,已出货未退款,已提现
DD201708167493426792434999816,E43A6E078A04228,6,6,250ml维他原味豆奶,2017/7/27 16:17,C,已出货未退款,已提现
DD201708167493427383504181656,E43A6E078A04228,4.5,4.5,50g上好佳田园薯片番茄味,2017/7/27 16:17,C,已出货未退款,已提现
DD20170730094408943FBD0C0A70F,E43A6E078A04228,5,5,王老吉（500ml）,2017/7/27 16:17,C,已出货未退款,已提现
DD2017050202282853E04CC3F2082,E43A6E078A06874,4,4,阿萨姆煎茶奶绿,2017/7/27 16:17,E,已出货未退款,已提现
DD2017050200211978519701AE918,E43A6E078A04228,4,4,阿萨姆奶茶,2017/7/27 16:18,C,已出货未退款,已提现
DD2017073009260550FCC36262F30,E43A6E078A07631,3.5,3.5,东鹏特饮,2017/7/27 16:18,D,已出货未退款,已提现
DD2017050200205017310FEC96AFE,E43A6E078A04172,3,3,统一绿茶,2017/7/27 16:19,A,已出货未退款,已提现
DD201707300900032776C2E579E17,E43A6E078A04228,4,4,东鹏特饮,2017/7/27 16:19,C,已出货未退款,已提现
DD201708167493809724955432806,E43A6E078A04228,2.8,2.8,乖媳妇野山椒风爪,2017/7/27 16:19,C,已出货未退款,已提现
DD2017081404002245FAC589746F5,E43A6E078A04134,3.5,3.5,统一绿茶,2017/7/27 16:20,B,已出货未退款,已提现
DD2017081674930621600209933187,E43A6E078A04172,6,6,86g合味道海鲜风味,2017/7/27 16:22,A,已出货未退款,已提现
DD20170501234738559ECDE0654B8,E43A6E078A04172,4,4,阿萨姆奶茶,2017/7/27 16:22,A,已出货未退款,已提现
DD201708167493277127740797394,E43A6E078A04228,2.5,2.5,30g元朗小蛋卷,2017/7/27 16:22,C,已出货未退款,已提现
DD201708167493333668503283282,E43A6E078A04228,5,5,480ml小茗同学冷泡青柠红茶,2017/7/27 16:22,C,已出货未退款,已提现
DD20170816749342647501128367,E43A6E078A04228,9,9,50g马赛克手撕鱿鱼条,2017/7/27 16:22,C,已出货未退款,已提现
DD2017073008430989121392FC867,E43A6E078A04228,4,4,统一冰红茶,2017/7/27 16:22,C,已出货未退款,已提现
DD201708167493238347487279643,E43A6E078A06874,6.5,6.5,250ml红牛,2017/7/27 16:22,E,已出货未退款,已提现
DD2017050123483613B1EED1DD022,E43A6E078A06874,3,3,统一冰红茶,2017/7/27 16:22,E,已出货未退款,已提现
DD201708167493425991811378121,E43A6E078A04134,5,5,85g统一老坛酸菜牛肉面,2017/7/27 16:27,B,已出货未退款,已提现
DD2017063009003413C3713CC2D59,E43A6E078A04134,2,2,怡宝纯净水,2017/7/27 16:30,B,已出货未退款,已提现
DD201708167493683509060928364,E43A6E078A04228,4,4,85g统一老坛酸菜牛肉面,2017/7/27 16:30,C,已出货未退款,已提现
DD201708167493581589392923358,E43A6E078A06874,3,3,250ml维他柠檬茶,2017/7/27 16:30,E,已出货未退款,已提现
DD2017081621234015BBA11ADE720,E43A6E078A04134,4,4,王老吉（罐）,2017/7/27 16:32,B,已出货未退款,已提现
DD2017050123134214DF3DC7B4BFF,E43A6E078A04172,2,2,怡宝纯净水,2017/7/27 16:43,A,已出货未退款,已提现
DD201708167493239172485114973,E43A6E078A04228,2.5,2.5,30g元朗小蛋卷,2017/7/27 16:43,C,已出货未退款,已提现
DD20170501230705100B80A1DF31E,E43A6E078A04228,4,4,阿萨姆奶茶,2017/7/27 16:43,C,已出货未退款,已提现
DD2017073008383838FBC4AA42E73,E43A6E078A07631,3,3,统一冰红茶,2017/7/27 16:43,D,已出货未退款,已提现
DD2017081674930406475093893469,E43A6E078A06874,4.5,4.5,40g乐事薯片黄瓜味,2017/7/27 16:46,E,已出货未退款,已提现
DD2017063019330956C60AE4A7EEB,E43A6E078A06874,2.5,2.5,怡宝纯净水,2017/7/27 16:46,E,已出货未退款,已提现
DD20170501225244767E96A250324,E43A6E078A04172,3,3,雪碧（500ml）,2017/7/27 17:03,A,已出货未退款,已提现
DD201707300756208196D335300DA,E43A6E078A04228,3,3,怡宝纯净水,2017/7/27 17:03,C,已出货未退款,已提现
DD201705012251159855872DD6E3B,E43A6E078A06874,4,4,王老吉（500ml）,2017/7/27 17:03,E,已出货未退款,已提现
DD20170816749342599312276844,E43A6E078A04228,6,6,86g合味道海鲜风味,2017/7/27 17:04,C,已出货未退款,已提现
DD20170730074036508A4FE09D30F,E43A6E078A04228,3,3,伊利优酸乳,2017/7/27 17:04,C,已出货未退款,已提现
DD2017062020372826A47731CF0AE,E43A6E078A04134,10,10,口味王槟榔（绿）,2017/7/27 17:11,B,已出货未退款,已提现
DD201708032223598545C95D43855,E43A6E078A04228,4.5,4.5,营养快线,2017/7/27 17:20,C,已出货未退款,已提现
DD2017081674930577507764289313,E43A6E078A06874,3.5,3.5,丽芝士纳宝帝奶酪威化饼干,2017/7/27 17:23,E,已出货未退款,已提现
DD20170608122432147A42E1748F9,E43A6E078A06874,3,3,茉莉蜜茶,2017/7/27 17:23,E,已出货未退款,已提现
DD20170816749300147395784813741,E43A6E078A06874,1.8,1.8,32g卫龙亲嘴烧红烧牛肉味,2017/7/27 17:30,E,已出货未退款,已提现
DD2017070520353730F8C2C1E63EC,E43A6E078A06874,3.5,3.5,果粒橙,2017/7/27 17:30,E,已出货未退款,已提现
DD20170816749342596668105754,E43A6E078A04228,6,6,268ml雀巢咖啡丝滑拿铁,2017/7/27 17:34,C,已出货未退款,已提现
DD2017073007330567FD063CE41E9,E43A6E078A04228,4,4,统一冰红茶,2017/7/27 17:34,C,已出货未退款,已提现
DD201708167493425818073375424,E43A6E078A04134,2.5,2.5,250ml王老吉盒装,2017/7/27 17:37,B,已出货未退款,已提现
DD201708092024541056FD259A53E,E43A6E078A06874,1,1,小鱼仔,2017/7/27 17:42,E,已出货未退款,已提现
DD20170625030452946B0ABFC9A7A,E43A6E078A04134,3,3,伊利纯牛奶,2017/7/27 17:50,B,已出货未退款,已提现
DD201708167493147014363680964,E43A6E078A06874,3,3,250ml维他柠檬茶,2017/7/27 17:50,E,已出货未退款,已提现
DD201708167493825629943713688,E43A6E078A06874,4,4,500ml统一阿萨姆奶茶,2017/7/27 17:50,E,已出货未退款,已提现
DD2017081674930155356438867498,E43A6E078A04172,4.5,4.5,250ml燕塘甜牛奶,2017/7/27 17:54,A,已出货未退款,已提现
DD201705012249061898957546FE5,E43A6E078A04172,3,3,可口可乐（500ml）,2017/7/27 17:54,A,已出货未退款,已提现
DD201708167493159401156177413,E43A6E078A04134,5.4,5.4,32g卫龙亲嘴烧,2017/7/27 17:54,B,已出货未退款,已提现
DD201708167493859155530057091,E43A6E078A04134,1.8,1.8,600ml雪碧,2017/7/27 17:54,B,已出货未退款,已提现
DD20170730045842322700778BF15,E43A6E078A04228,3.5,3.5,芬达330ml,2017/7/27 17:54,C,已出货未退款,已提现
DD20170816749392939724937857,E43A6E078A07631,3,3,卫龙大面筋,2017/7/27 17:54,D,已出货未退款,已提现
DD201708167493462440811080701,E43A6E078A06874,0.5,0.5,10g卫龙亲嘴烧香辣味,2017/7/27 17:54,E,已出货未退款,已提现
DD2017081674930708927609349698,E43A6E078A06874,8,8,80g四洲粟一烧烧烤味,2017/7/27 17:54,E,已出货未退款,已提现
DD201708167493867585734444335,E43A6E078A04172,2.8,2.8,旺仔牛奶,2017/7/27 17:56,A,已出货未退款,已提现
DD201708167493781120555914272,E43A6E078A04228,3,3,250ml维他原味豆奶,2017/7/27 17:56,C,已出货未退款,已提现
DD20170714091547442F617DADF6E,E43A6E078A06874,6,6,雀巢咖啡,2017/7/27 17:56,E,已出货未退款,已提现
DD20170710191847914D274856D82,E43A6E078A04228,3,3,统一冰红茶,2017/7/27 18:00,C,已出货未退款,已提现
DD2017080819323550AD639A4EDFB,E43A6E078A04134,3,3,怡宝纯净水,2017/7/27 18:05,B,已出货未退款,已提现
DD20170815124509524F07F5A7C44,E43A6E078A04134,3.5,3.5,可口可乐330ml,2017/7/27 18:07,B,已出货未退款,已提现
DD201708167493345910154095763,E43A6E078A04134,10,10,145ml旺仔牛奶盒装,2017/7/27 18:17,B,已出货未退款,已提现
DD201708167493102980817924717,E43A6E078A06874,1.6,1.6,20g咩咩世界虾味条,2017/7/27 18:17,E,已出货未退款,已提现
DD20170725122413975A4BD15F2E3,E43A6E078A06874,4,4,东鹏特饮,2017/7/27 18:17,E,已出货未退款,已提现
DD2017081674930518795558829794,E43A6E078A06874,1.6,1.6,韩国海牌海苔,2017/7/27 18:17,E,已出货未退款,已提现
DD201708167493951788740804009,E43A6E078A06874,0,0,32g卫龙亲嘴烧,2017/7/27 18:21,E,已出货未退款,已提现
DD2017071021304783F7567525B23,E43A6E078A04134,2,2,怡宝纯净水,2017/7/27 18:24,B,已出货未退款,已提现
DD201708167493130061419075729,E43A6E078A06874,2.5,2.5,250ml维他奶巧克力味,2017/7/27 18:25,E,已出货未退款,已提现
DD2017061115480159480C4D9276B,E43A6E078A06874,2.5,2.5,怡宝纯净水,2017/7/27 18:25,E,已出货未退款,已提现
DD20170715184338926E876FC6FDD,E43A6E078A04228,2.5,2.5,伊利优酸乳,2017/7/27 18:36,C,已出货未退款,已提现
DD2017081674930449018006849354,E43A6E078A06874,1.8,1.8,32g卫龙亲嘴烧红烧牛肉味,2017/7/27 18:36,E,已出货未退款,已提现
DD201708167493782428947614138,E43A6E078A06874,5,5,500ml统一阿萨姆奶茶,2017/7/27 18:36,E,已出货未退款,已提现
DD201708167493638401292231652,E43A6E078A04172,15,15,250ml维他奶巧克力味,2017/7/27 18:38,A,已出货未退款,已提现
DD20170730020448730617C90A8B4,E43A6E078A04228,5,5,阿萨姆奶茶,2017/7/27 18:38,C,已出货未退款,已提现
DD201708167493607878639523617,E43A6E078A06874,3,3,250ml维他柠檬茶,2017/7/27 18:38,E,已出货未退款,已提现
DD201708167493651260952496968,E43A6E078A04172,6,6,330ml伊利畅意乳酸菌原味,2017/7/27 18:40,A,已出货未退款,已提现
DD201708167493714855090042544,E43A6E078A04134,4.5,4.5,80g香飘飘椰果奶茶麦香味,2017/7/27 18:40,B,已出货未退款,已提现
DD2017081674930824941638383289,E43A6E078A04134,2.5,2.5,85g新麦潮北海道吐司,2017/7/27 18:40,B,已出货未退款,已提现
DD2017061403192081B41BD720645,E43A6E078A06874,2.5,2.5,果粒橙,2017/7/27 18:40,E,已出货未退款,已提现
DD2017080918510691C9E3ADF5227,E43A6E078A04134,5,5,阿萨姆奶茶,2017/7/27 18:42,B,已出货未退款,已提现
DD201708167493250809428967207,E43A6E078A04172,7.5,7.5,13g无穷烤鸡小腿蜂蜜味,2017/7/27 18:43,A,已出货未退款,已提现
DD201708167493407272517993131,E43A6E078A06874,3,3,无穷烤鸡小腿（蜂蜜）,2017/7/27 18:43,E,已出货未退款,已提现
DD2017071119390995F52D9E6EC09,E43A6E078A06874,4.5,4.5,营养快线,2017/7/27 18:43,E,已出货未退款,已提现
DD201708167493684028811798271,E43A6E078A04228,2.5,2.5,250ml维他柠檬茶,2017/7/27 18:51,C,已出货未退款,已提现
DD2017081674930748743779276004,E43A6E078A06874,12.5,12.5,100g*5瓶益力多,2017/7/27 18:51,E,已出货未退款,已提现
DD2017062715264396051BEC6FB39,E43A6E078A06874,3.5,3.5,可口可乐最新款,2017/7/27 18:51,E,已出货未退款,已提现
DD201708167493724036286709557,E43A6E078A04172,5.5,5.5,205g伊利安慕希原味,2017/7/27 18:53,A,已出货未退款,已提现
DD20170725051910922539A88F279,E43A6E078A06874,4,4,东鹏特饮,2017/7/27 18:53,E,已出货未退款,已提现
DD2017062610140470DF9B1580531,E43A6E078A04134,4,4,银鹭八宝粥,2017/7/27 19:00,B,已出货未退款,已提现
DD201708167493420627112170262,E43A6E078A04172,6,6,13g无穷烤鸡小腿蜂蜜味,2017/7/27 19:02,A,已出货未退款,已提现
DD201708167493190517623240774,E43A6E078A04172,2.8,2.8,250ml维他原味豆奶,2017/7/27 19:02,A,已出货未退款,已提现
DD201708167493235021279123798,E43A6E078A04172,1.8,1.8,32g卫龙亲嘴烧,2017/7/27 19:02,A,已出货未退款,已提现
DD201708167493311824371737375,E43A6E078A04134,7,7,150g洽洽原香瓜子,2017/7/27 19:02,B,已出货未退款,已提现
DD201708167493278337390928109,E43A6E078A04134,8,8,160g盼盼手撕面包,2017/7/27 19:02,B,已出货未退款,已提现
DD20170816749300327151081599819,E43A6E078A04134,4.5,4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/7/27 19:02,B,已出货未退款,已提现
DD201707121003571529D9D61E3B8,E43A6E078A04134,25,25,芙蓉王,2017/7/27 19:02,B,已出货未退款,已提现
DD201708167493316223907553526,E43A6E078A04134,3.5,3.5,可乐可乐,2017/7/27 19:02,B,已出货未退款,已提现
DD2017081674930988156787938703,E43A6E078A04134,3,3,旺仔牛奶145ml,2017/7/27 19:02,B,已出货未退款,已提现
DD201708167493100836186962075,E43A6E078A04228,2,2,145ml旺仔牛奶盒装,2017/7/27 19:02,C,已出货未退款,已提现
DD201708167493099540740273627,E43A6E078A04228,3,3,450ml美汁源果粒橙,2017/7/27 19:02,C,已出货未退款,已提现
DD201708167493296033778075245,E43A6E078A04228,4.5,4.5,50g上好佳田园薯片番茄味,2017/7/27 19:02,C,已出货未退款,已提现
DD201708167493921864222749249,E43A6E078A04228,1.5,1.5,康师傅矿泉水,2017/7/27 19:02,C,已出货未退款,已提现
DD201708167493811332842156564,E43A6E078A04228,2.8,2.8,旺仔牛奶,2017/7/27 19:02,C,已出货未退款,已提现
DD20170816749392429823079633,E43A6E078A04228,3,3,雪碧（500ml）,2017/7/27 19:02,C,已出货未退款,已提现
DD201708167493298166081397084,E43A6E078A07631,7,7,600ml可口可乐,2017/7/27 19:02,D,已出货未退款,已提现
DD201708167493923097058211608,E43A6E078A07631,3.5,3.5,东鹏特饮,2017/7/27 19:02,D,已出货未退款,已提现
DD2017081674930832616805190592,E43A6E078A06874,3,3,250ml维他奶巧克力味,2017/7/27 19:02,E,已出货未退款,已提现
DD2017081674930411889892242017,E43A6E078A06874,6,6,250ml维他原味豆奶,2017/7/27 19:02,E,已出货未退款,已提现
DD2017081674930850527543306156,E43A6E078A06874,5.5,5.5,268ml雀巢咖啡丝滑拿铁,2017/7/27 19:02,E,已出货未退款,已提现
DD201708167493123924447194208,E43A6E078A06874,4,4,450ml美汁源果粒橙,2017/7/27 19:02,E,已出货未退款,已提现
DD20170816749311926793473759,E43A6E078A06874,3,3,58g丽芝士纳宝帝奶酪威化饼干,2017/7/27 19:02,E,已出货未退款,已提现
DD201708167493932283920554827,E43A6E078A06874,3,3,统一绿茶,2017/7/27 19:02,E,已出货未退款,已提现
DD2017071818260294C296D9B7AC4,E43A6E078A04172,3,3,统一绿茶,2017/7/27 19:03,A,已出货未退款,已提现
DD20170728162934610CF664F7778,E43A6E078A04134,6,6,红牛,2017/7/27 19:08,B,已出货未退款,已提现
DD201708167493425746324918734,E43A6E078A04228,2,2,85g新麦潮北海道吐司,2017/7/27 19:12,C,已出货未退款,已提现
DD201708167493142316240375547,E43A6E078A04134,4.5,4.5,500ml加多宝,2017/7/27 19:18,B,已出货未退款,已提现
DD20170715161702420B3B154A935,E43A6E078A04134,1,1,小鱼仔,2017/7/27 19:18,B,已出货未退款,已提现
DD201708167493892187585378834,E43A6E078A04172,4.5,4.5,40g呀土豆番茄酱味,2017/7/27 19:20,A,已出货未退款,已提现
DD201708167493677778405112539,E43A6E078A04134,4,4,145ml旺仔牛奶盒装,2017/7/27 19:20,B,已出货未退款,已提现
DD20170816749380458344227532,E43A6E078A04228,3,3,58g丽芝士纳宝帝奶酪威化饼干,2017/7/27 19:20,C,已出货未退款,已提现
DD201708167493577048563145265,E43A6E078A07631,4.5,4.5,500ml加多宝,2017/7/27 19:20,D,已出货未退款,已提现
DD20170816749313345154652902,E43A6E078A06874,1.5,1.5,45g双汇泡面拍挡,2017/7/27 19:20,E,已出货未退款,已提现
DD2017071413420117BF9A210C9EE,E43A6E078A06874,6,6,红牛,2017/7/27 19:20,E,已出货未退款,已提现
DD201705012246501275906A4A3B2,E43A6E078A04172,2,2,怡宝纯净水,2017/7/27 19:21,A,已出货未退款,已提现
DD2017073001144771A8E9FC5405B,E43A6E078A07631,2.5,2.5,伊利优酸乳,2017/7/27 19:21,D,已出货未退款,已提现
DD201708167493883939988847083,E43A6E078A04172,6,6,107g出前一丁桶面酱香牛肉王,2017/7/27 19:24,A,已出货未退款,已提现
DD2017081674930931729167178126,E43A6E078A04172,6,6,250ml红牛,2017/7/27 19:24,A,已出货未退款,已提现
DD20170816749359089166676814,E43A6E078A04134,5,5,500ml统一阿萨姆奶茶,2017/7/27 19:24,B,已出货未退款,已提现
DD20170714202626504928089923A,E43A6E078A04228,1,1,香豆干,2017/7/27 19:24,C,已出货未退款,已提现
DD201708167493565261755191691,E43A6E078A07631,6,6,86g合味道海鲜风味,2017/7/27 19:24,D,已出货未退款,已提现
DD201708167493431773280987713,E43A6E078A06874,4,4,85g新麦潮北海道吐司,2017/7/27 19:24,E,已出货未退款,已提现
