47,万科精装修三房，家具家电齐全带全屋新风+地暖,90万,"9,517元/平",观承观峰二组团,蔡家,3室2厅,94.57平米,南,精装,中楼层(共18层),暂无数据,4人关注,6个月以前发布,江北区
48,精装修四房，业主急售，各种配套------近在咫尺,125万,"13,088元/平",金辉优步大道,石桥铺,4室2厅,95.51平米,西南,精装,32层,2018年,0人关注,3个月以前发布,巴南区
49,华润品质小区，装修保持新，可拎包入住,230万,"18,570元/平",华润二十四城二期,谢家湾,3室2厅,123.86平米,西 西北,精装,低楼层(共33层),2012年,3人关注,1个月以前发布,渝北区
50,采光好 品质高 配套完善 户型端正 拎包入住,75万,"7,280元/平",北斗星苑,茶园新区,3室2厅,103.03平米,东 东南,精装,24层,板塔结合,0人关注,一年前发布,渝北区
51,店长推荐：石坪桥奥体环线品质洋房社区精装三房出售,170万,"17,275元/平",融信海月渝州,石坪桥,3室2厅,98.41平米,南,精装,13层,2022年,1人关注,一年前发布,巴南区
52,龙湖品质，小区新，细节精致，本房户型方正,167万,"14,889元/平",龙湖两江新宸森屿,礼嘉,3室2厅,112.17平米,东北,毛坯,低楼层(共33层),2019年,6人关注,一年前发布,沙坪坝
53,微电园龙湖天街金科7街区横厅3房户型通透户型住家安静,152万,"12,738元/平",金科天宸7街区,西永,3室2厅,119.33平米,北,毛坯,中楼层(共8层),2016年,6人关注,一年前发布,巴南区
54,300米就是6号线邱家湾轻轨站，正规3房，,56万,"7,089元/平",同景国际P组团,茶园新区,3室2厅,79平米,南,毛坯,13层,板塔结合,2人关注,6个月以前发布,江北区
55,正规两房，金科品质小区，业主急售,57万,"9,888元/平",金科十年城西区,石马河,2室1厅,57.65平米,南,简装,低楼层(共12层),2011年,1人关注,22天以前发布,沙坪坝
56,照母山融创精致小三房 中间楼层 采光充足 看房方便,105万,"13,236元/平",融创凡尔赛领馆四期,照母山,3室1厅,79.33平米,北 南,精装,中楼层(共33层),2018年,8人关注,9个月以前发布,渝北区
57,小区大两居室，楼栋近地铁，保养较好，近大门出行便利,85万,"9,859元/平",美利山公园城市,鸳鸯,2室2厅,86.22平米,东南,简装,低楼层(共33层),2014年,1人关注,2个月以前发布,沙坪坝
58,近轻轨 正规三房 采光好  楼下就是公交站 住家安静,55万,"6,180元/平",荣盛观云郡云珑组团,双山,3室1厅,89平米,西南,毛坯,低楼层(共26层),暂无数据,0人关注,1个月以前发布,巴南区
59,玻璃幕墙+朝中庭+小高层+网红小区+高品质+大中庭,110万,"10,913元/平",御璟悦来,悦来,3室1厅,100.8平米,南,毛坯,中楼层(共13层),板楼,2人关注,8个月以前发布,渝北区
60,大3房 户型方正  采光很好 可看湖   小区旁有轻轨,218万,"16,892元/平",约克郡阅林景悦,照母山,3室2厅,129.06平米,西南,精装,中楼层(共32层),2017年,8人关注,一年前发布,巴南区
61,鸳鸯轻轨站旁边，端户，双阳台通透,115万,"12,117元/平",中冶北麓原,鸳鸯,2室2厅,94.91平米,南 北,精装,33层,2013年,2人关注,9个月以前发布,巴南区
62,近轻轨，次新小区，人车分流，环境好,83万,"10,375元/平",远洋城,石桥铺,3室2厅,80平米,南,毛坯,33层,2017年,29人关注,一年前发布,渝北区
63,悦来联排别墅端头，带私家花园及两个车位，环境优美,360万,"11,090元/平",望江府白鹭岸,悦来,6室2厅,324.62平米,东南,毛坯,3层,板楼,23人关注,一年前发布,巴南区
64,三房带书房带大阳台 看小区中庭 业主自住保持得不错,165万,"14,823元/平",和泓江山国际,大坪,4室2厅,111.32平米,东南,精装,40层,2017年,6人关注,9个月以前发布,沙坪坝
65,朝中庭，好楼层，视野开阔安静，精装3房,81万,"8,363元/平",重庆融创文旅城御珑,西永,3室2厅,96.86平米,南,精装,高楼层(共25层),板塔结合,0人关注,一年前发布,渝北区
66,北滨路 华润 一线江景端户大1房 精装修 通车库,78万,"13,971元/平",华润中央公园,大石坝,1室1厅,55.83平米,东南 南,精装,33层,2011年,12人关注,6个月以前发布,江北区
67,嘉州三轻轨 品质小区 住家装修拎包入住,110万,"11,112元/平",北城国际中心,龙溪,3室2厅,99平米,东南,精装,高楼层(共33层),2010年,1人关注,5个月以前发布,渝北区
68,急售，长嘉汇少有的看江小户型，视野无遮挡,145万,"16,487元/平",长嘉汇四期,南滨路,2室2厅,87.95平米,西南,毛坯,30层,2016年,2人关注,5个月以前发布,巴南区
69,轨道三亚湾，出行方便，住家装修，视野开阔,93万,"11,518元/平",世茂璀璨天城星斓,汽博中心,3室1厅,80.75平米,西南,精装,高楼层(共32层),塔楼,0人关注,4个月以前发布,巴南区
70,和泓精装三房+YC，随时可以看房,77万,"7,214元/平",和泓四季A区,华岩,3室2厅,106.75平米,东南,精装,中楼层(共31层),2016年,0人关注,5个月以前发布,巴南区
71,顶跃 外圈无遮挡 两个大露台 实得210 无房产税,251万,"15,251元/平",华侨城云溪别院一期,礼嘉,4室1厅,164.58平米,东南,毛坯,高楼层(共8层),2017年,7人关注,一年前发布,巴南区
72,布局合理，户型方正，产权清晰，交易方便，诚心出售,43万,"6,870元/平",钱塘玫瑰湾,两路口,2室2厅,62.6平米,西北,其他,33层,2007年,5人关注,一年前发布,渝北区
73,观音桥商圈鸿恩寺公园次新楼盘看江小两房,78万,"10,525元/平",绿地海外滩摩尔公馆,鸿恩寺,2室1厅,74.11平米,南 北,毛坯,高楼层(共33层),塔楼,10人关注,一年前发布,沙坪坝
74,品质小区清水价格买精装三房两卫电梯房,47万,"5,054元/平",金成源山,观音岩,3室2厅,93平米,东南,精装,高楼层(共25层),塔楼,0人关注,一年前发布,江北区
75,美的金科郡二期   1梯2户   中楼层    清净住家,145万,"10,930元/平",美的金科郡二期,西永,4室2厅,132.67平米,南 北,毛坯,中楼层(共8层),塔楼,2人关注,一年前发布,巴南区
76,次新小区，板式洋房，住家安静，交通便利,83.6万,"9,168元/平",招商雍璟城璟阁,空港新城,3室2厅,91.19平米,南 北,毛坯,中楼层(共8层),暂无数据,0人关注,11个月以前发布,江北区
77,屋顶大花园横厅洋房，业主全新装修,129万,"13,299元/平",同景国际城I组团,茶园新区,3室2厅,97平米,东南,精装,6层,板楼,1人关注,一年前发布,渝北区
78,保利江上明珠 大跃层 视野巴适 望公园 前后花园,328万,"12,940元/平",保利江上明珠朗园,鸿恩寺,5室2厅,253.49平米,南,毛坯,低楼层(共6层),2010年,6人关注,一年前发布,巴南区
79,一线看江！视野开阔改善型三房，精装修拎包入住,109万,"9,186元/平",华宇秋水长天,沙滨路,3室2厅,118.66平米,南 北,精装,中楼层(共45层),2008年,3人关注,一年前发布,江北区
80,单间配套...空气清新............环境好.....,25万,"6,634元/平",上邦高尔夫温泉公馆,白市驿,1室1厅,37.69平米,东南,精装,低楼层(共5层),塔楼,0人关注,6天以前发布,江北区
81,金科御院跃层，精装三房端户，端头户型，业主安心卖,78万,"9,359元/平",金科中央御院三期,茶园新区,3室1厅,83.35平米,南,精装,26层,2016年,1人关注,1个月以前发布,巴南区
82,金科品质楼盘+ 户型方正配套齐全+小区环境优美,52万,"6,007元/平",金科中建集美阳光,跳蹬,3室2厅,86.57平米,南,毛坯,32层,板塔结合,1人关注,11个月以前发布,巴南区
83,户型动静分区，看房方便随时过户,56万,"5,437元/平",银河公园山水,五桥,3室1厅,103平米,东南,精装,中楼层(共29层),板塔结合,0人关注,1个月以前发布,江北区
84,145万带车位 轨道五号线忠恕沱站 滨江公园 品质小区,145万,"12,040元/平",华润中央公园,大石坝,3室2厅,120.44平米,南,精装,33层,2013年,2人关注,1个月以前发布,巴南区
85,此房精装修，户型方正，看房方便，住家安静。,108万,"11,250元/平",金科金辉美院A区,蔡家,3室2厅,96平米,东南,精装,低楼层(共30层),塔楼,1人关注,2个月以前发布,巴南区
86,浦辉海棠晓月C区 2室2厅 东南,69万,"8,762元/平",浦辉海棠晓月C区,南滨路,2室2厅,78.75平米,东南,精装,30层,2008年,0人关注,9天以前发布,巴南区
87,曹家湾 轻轨边  大户型  中间楼层 金科品质,88万,"7,806元/平",集美嘉悦森林海岸,蔡家,3室2厅,112.74平米,南 北,毛坯,高楼层(共23层),2020年,0人关注,一年前发布,沙坪坝
88,精装两房，拎包入住，配套齐全，临区府,66万,"7,927元/平",银翔翡翠谷B区,茶园新区,2室1厅,83.27平米,南,精装,27层,2015年,1人关注,3个月以前发布,江北区
89,金科廊桥天都 2室1厅 东南,32万,"5,817元/平",金科廊桥天都,大学城,2室1厅,55.02平米,东南,精装,16层,2012年,1人关注,20天以前发布,渝北区
编号,标题,总价,单价,小区,街道,户型,面积,朝向,装修,楼层,楼型/时间,关注度,时间,地区
0,科学城6700亩文旅大盘，户型方正，品质高，次新房,53万,"6,491元/平",重庆融创文旅城御泱,西永,2室1厅,81.66平米,南 西,毛坯,低楼层(共32层),2020年,1人关注,1个月以前发布,渝北区
1,虎溪花园大平层临湖楼层好，视野开阔可以看湖,201万,"10,950元/平",虎溪花园,大学城,5室2厅,183.57平米,南,毛坯,中楼层(共11层),板楼,4人关注,一年前发布,江北区
2,虎溪花园一级视野坐北朝南中高楼层,110万,"8,942元/平",虎溪花园,大学城,3室1厅,123.02平米,东 东南,毛坯,高楼层(共18层),2009年,1人关注,一年前发布,江北区
3,两梯两户小高层板式结构通车库带集中空调地暖诚心卖,155万,"13,656元/平",玥湖园,照母山,3室2厅,113.51平米,东北,精装,低楼层(共19层),2018年,0人关注,4个月以前发布,渝北区
4,御峰三期 轻轨房 次新房 高楼层 视野好 价格可以谈,110万,"10,269元/平",和记黄埔御峰三期,南坪,3室2厅,107.12平米,西,毛坯,高楼层(共34层),2017年,3人关注,9个月以前发布,沙坪坝
5,天街旁 龙湖礼嘉天街华宇大盘 公园多 儿童医院配置,123万,"10,609元/平",御璟湖山璟樾,礼嘉,4室1厅,115.94平米,南,毛坯,中楼层(共30层),2019年,3人关注,11个月以前发布,渝北区
6,环线旁全新装修，3房，看中庭，车库方便，安心卖,98万,"11,406元/平",聚丰江山汇,南滨路,3室2厅,85.92平米,南,精装,29层,2010年,2人关注,2个月以前发布,沙坪坝
7,鎏嘉码头江景四房带车位业主安心出,195万,"12,820元/平",珠江太阳城A区,北滨路,4室1厅,152.11平米,西,精装,中楼层(共30层),2010年,1人关注,2个月以前发布,渝北区
8,南坪骑龙山庄洋房  大阳台正三房 业主诚心出售,108万,"8,355元/平",骑龙山庄(南岸),南坪,3室2厅,129.27平米,东南,简装,12层,2004年,1人关注,5个月以前发布,沙坪坝
9,品质小区、出行方便、清水四房，视野开阔，小区幽美,112万,"8,097元/平",碧桂园保利云禧一期,龙洲湾,4室2厅,138.33平米,南,毛坯,低楼层(共18层),2019年,0人关注,7个月以前发布,渝北区
10,龙湖第四代住宅，玻璃幕墙大平层，大露台私家庭院,350万,"18,366元/平",龙湖揽境,九曲河,4室2厅,190.57平米,南 北,毛坯,中楼层(共7层),2019年,9人关注,6个月以前发布,巴南区
11,通风和采光很好，房子装修不错，格局好,74万,"8,506元/平",巨成龙湾,四公里,3室1厅,87平米,东南 东北,简装,34层,2009年,2人关注,1个月以前发布,巴南区
12,鲁能领秀城精装三房生活配套业主诚心出售,83万,"9,562元/平",鲁能领秀城1街区,茶园新区,3室1厅,86.81平米,南,精装,21层,2015年,0人关注,2个月以前发布,沙坪坝
13,南坪阳光华庭洋房，精装三房，通透采光好，住家安静,100万,"9,419元/平",阳光华庭,南滨路,3室1厅,106.17平米,南,精装,19层,2002年,2人关注,2个月以前发布,巴南区
14,沙小旁纯洋房小区，临沙小，轻轨500米，诚心出售,89万,"9,920元/平",首创禧悦学府（三组团）,西永,3室2厅,89.72平米,南,毛坯,中楼层(共10层),板塔结合,1人关注,11个月以前发布,巴南区
15,户型方正，视野开阔，门口就是公交站，,64.9万,"7,424元/平",翡丽公园,双碑,3室2厅,87.43平米,东南,毛坯,高楼层(共34层),塔楼,0人关注,2个月以前发布,江北区
16,飞湖路三室一厅带楼顶花园，业主急卖,28万,"2,621元/平",飞湖路社区,两路,3室1厅,106.84平米,东,其他,高楼层(共9层),板楼,5人关注,1个月以前发布,巴南区
17,精装修家电家具齐全 业主就是装修老板 看江房,45万,"8,824元/平",蓝光御江台,马王乡,3室1厅,51平米,东,简装,低楼层(共32层),2016年,0人关注,一年前发布,渝北区
18,精装大两房   拎包入住，温馨两房,77万,"11,550元/平",富州新城兰亭,石桥铺,2室1厅,66.67平米,西南,精装,33层,2016年,0人关注,16天以前发布,巴南区
19,"巴滨路品质天花板,龙湖头排看江视野洋房",165万,"11,397元/平",龙湖春江天镜御江,融汇半岛,4室2厅,144.78平米,东 西,毛坯,8层,2021年,1人关注,5个月以前发布,江北区
20,江北双轻轨，出门10多路公交，双商圈，近鸿恩寺公园,90万,"10,836元/平",溪岸上品,大石坝,3室1厅,83.06平米,西北,简装,中楼层(共18层),2011年,5人关注,6个月以前发布,巴南区
21,商圈内+轻轨近+朝中庭+户型方正,68万,"8,919元/平",泰正花园,南坪,2室1厅,76.25平米,东北,简装,33层,2004年,0人关注,一年前发布,渝北区
22,渝中区，下楼双轻轨，精装三房拎包入住,125万,"11,424元/平",协信阿卡迪亚,大坪,3室2厅,109.42平米,东北,精装,30层,2010年,3人关注,2个月以前发布,巴南区
23,滨江路 铂悦澜庭 纯洋房 封闭式小区 弹子石次新盘,195万,"13,640元/平",铂悦澜庭,弹子石,4室2厅,142.97平米,南,毛坯,8层,2019年,0人关注,2个月以前发布,沙坪坝
24,内圈安静洋房 次卧可看江 阳台看大中庭 急售 随时可看,166万,"11,011元/平",万科悦湾南区,石马河,4室2厅,150.76平米,东 东南,毛坯,8层,板楼,3人关注,4个月以前发布,渝北区
25,刘家坪轻轨房 荣盛品质洋房1梯2户看小区中庭 住家安静,165万,"11,337元/平",荣盛华府御宸,茶园新区,4室2厅,145.55平米,东南,毛坯,高楼层(共8层),板楼,0人关注,2个月以前发布,江北区
26,江北嘴大平层，电梯入户，横厅设计，侧看溉澜溪,272万,"16,139元/平",万科御澜道,江北嘴,4室2厅,168.54平米,西南,毛坯,中楼层(共49层),2019年,50人关注,一年前发布,江北区
27,金科洋房一线公园视野户型通透诚心出售,310万,"20,250元/平",金科公园王府,龙头寺,4室2厅,153.09平米,南,精装,11层,2013年,31人关注,一年前发布,江北区
28,绿地公园里A组团，三房双卫，加大外阳台。视野开阔,62万,"5,905元/平",绿地公园里A组团,周家坝,3室2厅,105平米,北,毛坯,低楼层(共24层),暂无数据,0人关注,11个月以前发布,江北区
29,巴滨路次新小区，视野开阔，近地铁。,55万,"5,493元/平",滨江华府紫郡府,李家沱,3室2厅,100.14平米,东南,毛坯,中楼层(共32层),2020年,3人关注,9个月以前发布,巴南区
编号,标题,总价,单价,小区,街道,户型,面积,朝向,装修,楼层,楼型/时间,关注度,时间,地区
0,科学城6700亩文旅大盘，户型方正，品质高，次新房,53万,"6,491元/平",重庆融创文旅城御泱,西永,2室1厅,81.66平米,南 西,毛坯,低楼层(共32层),2020年,1人关注,1个月以前发布,渝北区
1,虎溪花园大平层临湖楼层好，视野开阔可以看湖,201万,"10,950元/平",虎溪花园,大学城,5室2厅,183.57平米,南,毛坯,中楼层(共11层),板楼,4人关注,一年前发布,江北区
2,虎溪花园一级视野坐北朝南中高楼层,110万,"8,942元/平",虎溪花园,大学城,3室1厅,123.02平米,东 东南,毛坯,高楼层(共18层),2009年,1人关注,一年前发布,江北区
3,两梯两户小高层板式结构通车库带集中空调地暖诚心卖,155万,"13,656元/平",玥湖园,照母山,3室2厅,113.51平米,东北,精装,低楼层(共19层),2018年,0人关注,4个月以前发布,渝北区
4,御峰三期 轻轨房 次新房 高楼层 视野好 价格可以谈,110万,"10,269元/平",和记黄埔御峰三期,南坪,3室2厅,107.12平米,西,毛坯,高楼层(共34层),2017年,3人关注,9个月以前发布,沙坪坝
5,天街旁 龙湖礼嘉天街华宇大盘 公园多 儿童医院配置,123万,"10,609元/平",御璟湖山璟樾,礼嘉,4室1厅,115.94平米,南,毛坯,中楼层(共30层),2019年,3人关注,11个月以前发布,渝北区
6,环线旁全新装修，3房，看中庭，车库方便，安心卖,98万,"11,406元/平",聚丰江山汇,南滨路,3室2厅,85.92平米,南,精装,29层,2010年,2人关注,2个月以前发布,沙坪坝
7,鎏嘉码头江景四房带车位业主安心出,195万,"12,820元/平",珠江太阳城A区,北滨路,4室1厅,152.11平米,西,精装,中楼层(共30层),2010年,1人关注,2个月以前发布,渝北区
8,南坪骑龙山庄洋房  大阳台正三房 业主诚心出售,108万,"8,355元/平",骑龙山庄(南岸),南坪,3室2厅,129.27平米,东南,简装,12层,2004年,1人关注,5个月以前发布,沙坪坝
9,品质小区、出行方便、清水四房，视野开阔，小区幽美,112万,"8,097元/平",碧桂园保利云禧一期,龙洲湾,4室2厅,138.33平米,南,毛坯,低楼层(共18层),2019年,0人关注,7个月以前发布,渝北区
10,龙湖第四代住宅，玻璃幕墙大平层，大露台私家庭院,350万,"18,366元/平",龙湖揽境,九曲河,4室2厅,190.57平米,南 北,毛坯,中楼层(共7层),2019年,9人关注,6个月以前发布,巴南区
11,通风和采光很好，房子装修不错，格局好,74万,"8,506元/平",巨成龙湾,四公里,3室1厅,87平米,东南 东北,简装,34层,2009年,2人关注,1个月以前发布,巴南区
12,鲁能领秀城精装三房生活配套业主诚心出售,83万,"9,562元/平",鲁能领秀城1街区,茶园新区,3室1厅,86.81平米,南,精装,21层,2015年,0人关注,2个月以前发布,沙坪坝
13,南坪阳光华庭洋房，精装三房，通透采光好，住家安静,100万,"9,419元/平",阳光华庭,南滨路,3室1厅,106.17平米,南,精装,19层,2002年,2人关注,2个月以前发布,巴南区
14,沙小旁纯洋房小区，临沙小，轻轨500米，诚心出售,89万,"9,920元/平",首创禧悦学府（三组团）,西永,3室2厅,89.72平米,南,毛坯,中楼层(共10层),板塔结合,1人关注,11个月以前发布,巴南区
15,户型方正，视野开阔，门口就是公交站，,64.9万,"7,424元/平",翡丽公园,双碑,3室2厅,87.43平米,东南,毛坯,高楼层(共34层),塔楼,0人关注,2个月以前发布,江北区
16,飞湖路三室一厅带楼顶花园，业主急卖,28万,"2,621元/平",飞湖路社区,两路,3室1厅,106.84平米,东,其他,高楼层(共9层),板楼,5人关注,1个月以前发布,巴南区
17,精装修家电家具齐全 业主就是装修老板 看江房,45万,"8,824元/平",蓝光御江台,马王乡,3室1厅,51平米,东,简装,低楼层(共32层),2016年,0人关注,一年前发布,渝北区
18,精装大两房   拎包入住，温馨两房,77万,"11,550元/平",富州新城兰亭,石桥铺,2室1厅,66.67平米,西南,精装,33层,2016年,0人关注,16天以前发布,巴南区
19,"巴滨路品质天花板,龙湖头排看江视野洋房",165万,"11,397元/平",龙湖春江天镜御江,融汇半岛,4室2厅,144.78平米,东 西,毛坯,8层,2021年,1人关注,5个月以前发布,江北区
20,江北双轻轨，出门10多路公交，双商圈，近鸿恩寺公园,90万,"10,836元/平",溪岸上品,大石坝,3室1厅,83.06平米,西北,简装,中楼层(共18层),2011年,5人关注,6个月以前发布,巴南区
21,商圈内+轻轨近+朝中庭+户型方正,68万,"8,919元/平",泰正花园,南坪,2室1厅,76.25平米,东北,简装,33层,2004年,0人关注,一年前发布,渝北区
22,渝中区，下楼双轻轨，精装三房拎包入住,125万,"11,424元/平",协信阿卡迪亚,大坪,3室2厅,109.42平米,东北,精装,30层,2010年,3人关注,2个月以前发布,巴南区
23,滨江路 铂悦澜庭 纯洋房 封闭式小区 弹子石次新盘,195万,"13,640元/平",铂悦澜庭,弹子石,4室2厅,142.97平米,南,毛坯,8层,2019年,0人关注,2个月以前发布,沙坪坝
24,内圈安静洋房 次卧可看江 阳台看大中庭 急售 随时可看,166万,"11,011元/平",万科悦湾南区,石马河,4室2厅,150.76平米,东 东南,毛坯,8层,板楼,3人关注,4个月以前发布,渝北区
25,刘家坪轻轨房 荣盛品质洋房1梯2户看小区中庭 住家安静,165万,"11,337元/平",荣盛华府御宸,茶园新区,4室2厅,145.55平米,东南,毛坯,高楼层(共8层),板楼,0人关注,2个月以前发布,江北区
26,江北嘴大平层，电梯入户，横厅设计，侧看溉澜溪,272万,"16,139元/平",万科御澜道,江北嘴,4室2厅,168.54平米,西南,毛坯,中楼层(共49层),2019年,50人关注,一年前发布,江北区
27,金科洋房一线公园视野户型通透诚心出售,310万,"20,250元/平",金科公园王府,龙头寺,4室2厅,153.09平米,南,精装,11层,2013年,31人关注,一年前发布,江北区
28,绿地公园里A组团，三房双卫，加大外阳台。视野开阔,62万,"5,905元/平",绿地公园里A组团,周家坝,3室2厅,105平米,北,毛坯,低楼层(共24层),暂无数据,0人关注,11个月以前发布,江北区
29,巴滨路次新小区，视野开阔，近地铁。,55万,"5,493元/平",滨江华府紫郡府,李家沱,3室2厅,100.14平米,东南,毛坯,中楼层(共32层),2020年,3人关注,9个月以前发布,巴南区
30,中间楼层，采光充足，住家装修领包入住，出门就是公园,99万,"13,562元/平",金科公园王府,龙头寺,2室2厅,73平米,南,精装,32层,2013年,0人关注,10个月以前发布,巴南区
31,17年公园旁次新小区 住家安静 另有车位,99万,"12,397元/平",桐林逸景,龙头寺,2室1厅,79.86平米,南,简装,中楼层(共26层),2017年,1人关注,一年前发布,渝北区
32,精装3房2卫，户型方正，住家精装拎包入住,71.8万,"7,327元/平",长安锦尚城,空港新城,3室2厅,98平米,南,精装,高楼层(共32层),2017年,0人关注,1个月以前发布,巴南区
33,北滨路 品质大盘近轻轨 次新清水三房,133万,"12,073元/平",财信北岸江山东区,北滨路,3室1厅,110.17平米,西,毛坯,43层,2019年,0人关注,2个月以前发布,沙坪坝
34,巴国城后门 永辉楼上2房产权清晰,73万,"8,720元/平",中交万都汇,巴国城,3室1厅,83.72平米,南,精装,34层,2013年,0人关注,1个月以前发布,巴南区
35,品质小区 业主精装25个未入住住家安静,128万,"11,613元/平",国际社区观园二期,弹子石,3室2厅,110.23平米,东南,精装,48层,2014年,1人关注,1个月以前发布,沙坪坝
36,业主寻有缘人，家具家电齐全，全新装修,49.8万,"6,204元/平",中国铁建香漫溪岸,璧山,3室1厅,80.28平米,东,精装,中楼层(共30层),塔楼,0人关注,1个月以前发布,沙坪坝
37,成熟地段精装修两房 业主急售 价格美丽 交通便利,60万,"7,875元/平",北麓国际城,大学城,2室1厅,76.2平米,南,精装,中楼层(共32层),2013年,0人关注,1个月以前发布,渝北区
38,三峡广场商圈 精装四房 视野宽阔,387万,"25,916元/平",南开苑,三峡广场,4室2厅,149.33平米,东南,精装,中楼层(共32层),2008年,6人关注,8个月以前发布,巴南区
39,南方花园电梯三房，户型方正，采光通透,62万,"5,198元/平",南方花园C1区,石桥铺,3室2厅,119.28平米,南,简装,10层,暂无数据,2人关注,8个月以前发布,渝北区
40,香林华府(江津) 3室1厅 东,59.8万,"5,538元/平",香林华府(江津),琅山片区,3室1厅,108平米,东,精装,低楼层(共29层),2015年,0人关注,1个月以前发布,江北区
41,十里长江精装小高 看江 诚心出售 随时看房,173万,"15,606元/平",十里长江澜庭北区,弹子石,3室2厅,110.86平米,东南,精装,中楼层(共33层),2021年,7人关注,7个月以前发布,巴南区
42,江北次新横厅四房 四代同堂 门口轻轨 旁边mall,198万,"16,716元/平",保利阅江台,大石坝,4室2厅,118.45平米,南 北,毛坯,26层,板塔结合,1人关注,1个月以前发布,江北区
43,轻轨房，生活配套完善，户型方正，装修两房,36万,"5,715元/平",宗申动力城二期,李家沱,2室1厅,63平米,东南,简装,中楼层(共33层),2011年,1人关注,1个月以前发布,江北区
44,恒大世纪城南苑  精装三室  未住过人 朝中庭,131.8万,"14,237元/平",恒大世纪城四期南苑,照母山,3室2厅,92.58平米,东南,精装,高楼层(共32层),2022年,2人关注,一年前发布,江北区
45,轻轨站旁大三房双卫！随时看房！业主诚心出售！,76万,"7,602元/平",富力院士廷3A组团,大学城,3室2厅,99.98平米,南,毛坯,低楼层(共31层),板塔结合,5人关注,一年前发布,巴南区
46,龙湖品质楼盘四房带露台视野好《拒绝老破小当传家宝》,145万,"10,951元/平",龙湖两江郦湾二期林涧,蔡家,4室2厅,132.42平米,南,毛坯,低楼层(共6层),板楼,0人关注,2个月以前发布,巴南区
47,采光视野好，看小区中庭，精装可拎包入住，户型方正,69万,"8,583元/平",御林,西永,2室1厅,80.4平米,南,精装,低楼层(共33层),2018年,0人关注,27天以前发布,江北区
48,金开玖號 大3房 朝中庭  朝南  诚心卖，近商圈,108万,"11,874元/平",金开玖號,照母山,3室2厅,90.96平米,南,毛坯,中楼层(共30层),塔楼,1人关注,7个月以前发布,江北区
49,香弥山跃层两房，住家装修保持，看房有钥匙,59万,"8,310元/平",融侨半岛香弥山2号,融侨半岛,2室1厅,71平米,东南,精装,36层,2009年,2人关注,11个月以前发布,江北区
50,君临南山  纯 电梯洋房 近2外 临公园 业主诚心出售,118万,"10,010元/平",君临南山崇德府,南山,3室2厅,117.89平米,南,毛坯,中楼层(共4层),暂无数据,0人关注,1个月以前发布,沙坪坝
51,南滨路江景独栋，一览众山小，产权清晰。,668万,"12,229元/平",玫瑰山庄,南坪,6室3厅,546.26平米,西南,简装,3层,板楼,7人关注,1个月以前发布,渝北区
52,金沙天街旁  融汇B区 大中庭小区  环境优美户型方正,110万,"9,970元/平",上筑融汇国际温泉,梨树湾,3室2厅,110.34平米,东南,精装,33层,塔楼,0人关注,1个月以前发布,渝北区
53,蔡家曹家湾地铁站中南洋房高层小区刚满两年户型好,86万,"8,627元/平",中南玖宸二期晓园,蔡家,3室2厅,99.69平米,南,毛坯,高楼层(共25层),塔楼,7人关注,一年前发布,渝北区
54,肖家河 大面积 单价低 湖边公园房 是商品房有电梯,90万,"5,185元/平",管委会集资房,汽博中心,8室2厅,173.6平米,南 北,毛坯,低楼层(共11层),塔楼,4人关注,8个月以前发布,巴南区
55,西永赖家桥住家精装修大户型四房，九成新保养好，急售,94.8万,"8,003元/平",熙地锦绣城,西永,4室2厅,118.47平米,西南,精装,高楼层(共33层),2012年,0人关注,7个月以前发布,巴南区
56,保利香雪三房 外阳台 朝中庭 住家精装,130万,"11,765元/平",保利香雪,南桥寺,3室2厅,110.5平米,西北,精装,中楼层(共32层),2013年,3人关注,6个月以前发布,渝北区
57,商圈内+地段好+轻轨近+精装修+朝向好+视野好+采光好,78万,"8,537元/平",泰正花园,南坪,2室2厅,91.37平米,北,精装,32层,2004年,0人关注,4个月以前发布,沙坪坝
58,小区自带环形跑步道，在自家小区就能强身健体,63万,"7,778元/平",富力院士廷,大学城,2室2厅,81平米,北,精装,高楼层(共33层),2020年,1人关注,一年前发布,巴南区
59,微电园轻轨旁 横厅板式四房双卫  业主安心卖,158万,"11,801元/平",西著七里二组团,西永,4室2厅,133.89平米,南,其他,中楼层(共8层),板塔结合,2人关注,一年前发布,江北区
编号,标题,总价,单价,小区,街道,户型,面积,朝向,装修,楼层,楼型/时间,关注度,时间,地区
0,恒大三期 85平精装两居室 出售,38.8万,"4,816元/平",恒大金碧天下三期,双福新区,2室2厅,80.57平米,东,精装,低楼层(共32层),板塔结合,0人关注,1个月以前发布,沙坪坝
1,渝中区石油路医学院 正规三房 可拎包入住  一梯两户,88万,"7,839元/平",医学院路小区,大坪,3室2厅,112.27平米,东南,简装,中楼层(共5层),暂无数据,0人关注,1个月以前发布,巴南区
2,恒大城洋房4房 出行方便 户型方正 装修保持好 诚心卖,110万,"8,209元/平",恒大城二期,李家沱,4室2厅,134平米,南,精装,11层,2010年,2人关注,4个月以前发布,巴南区
3,华侨城央企品牌 精装两房户型 居家安静 配套成熟,108万,"15,212元/平",华侨城天际湾A区,礼嘉,2室1厅,71平米,东南,精装,高楼层(共33层),2016年,1人关注,一年前发布,沙坪坝
4,鸿恩寺保利精装三房，业主诚心出售，实用性强住家安静,115万,"11,305元/平",保利江上明珠畅园,鸿恩寺,3室1厅,101.73平米,东南,精装,26层,2014年,0人关注,2个月以前发布,江北区
