编号,标题,总价,单价,小区,街道,户型,面积,朝向,装修,楼层,楼型/时间,关注度,时间,地区
137,万科精装修三房，家具家电齐全带全屋新风+地暖,90万,"9,517元/平",观承观峰二组团,蔡家,3室2厅,94.57平米,南,精装,中楼层(共18层),暂无数据,4人关注,6个月以前发布,江北区
138,精装修四房，业主急售，各种配套------近在咫尺,125万,"13,088元/平",金辉优步大道,石桥铺,4室2厅,95.51平米,西南,精装,32层,2018年,0人关注,3个月以前发布,巴南区
139,华润品质小区，装修保持新，可拎包入住,230万,"18,570元/平",华润二十四城二期,谢家湾,3室2厅,123.86平米,西 西北,精装,低楼层(共33层),2012年,3人关注,1个月以前发布,渝北区
140,采光好 品质高 配套完善 户型端正 拎包入住,75万,"7,280元/平",北斗星苑,茶园新区,3室2厅,103.03平米,东 东南,精装,24层,板塔结合,0人关注,一年前发布,渝北区
141,店长推荐：石坪桥奥体环线品质洋房社区精装三房出售,170万,"17,275元/平",融信海月渝州,石坪桥,3室2厅,98.41平米,南,精装,13层,2022年,1人关注,一年前发布,巴南区
142,龙湖品质，小区新，细节精致，本房户型方正,167万,"14,889元/平",龙湖两江新宸森屿,礼嘉,3室2厅,112.17平米,东北,毛坯,低楼层(共33层),2019年,6人关注,一年前发布,沙坪坝
143,微电园龙湖天街金科7街区横厅3房户型通透户型住家安静,152万,"12,738元/平",金科天宸7街区,西永,3室2厅,119.33平米,北,毛坯,中楼层(共8层),2016年,6人关注,一年前发布,巴南区
144,300米就是6号线邱家湾轻轨站，正规3房，,56万,"7,089元/平",同景国际P组团,茶园新区,3室2厅,79平米,南,毛坯,13层,板塔结合,2人关注,6个月以前发布,江北区
145,正规两房，金科品质小区，业主急售,57万,"9,888元/平",金科十年城西区,石马河,2室1厅,57.65平米,南,简装,低楼层(共12层),2011年,1人关注,22天以前发布,沙坪坝
146,照母山融创精致小三房 中间楼层 采光充足 看房方便,105万,"13,236元/平",融创凡尔赛领馆四期,照母山,3室1厅,79.33平米,北 南,精装,中楼层(共33层),2018年,8人关注,9个月以前发布,渝北区
147,小区大两居室，楼栋近地铁，保养较好，近大门出行便利,85万,"9,859元/平",美利山公园城市,鸳鸯,2室2厅,86.22平米,东南,简装,低楼层(共33层),2014年,1人关注,2个月以前发布,沙坪坝
148,近轻轨 正规三房 采光好  楼下就是公交站 住家安静,55万,"6,180元/平",荣盛观云郡云珑组团,双山,3室1厅,89平米,西南,毛坯,低楼层(共26层),暂无数据,0人关注,1个月以前发布,巴南区
149,玻璃幕墙+朝中庭+小高层+网红小区+高品质+大中庭,110万,"10,913元/平",御璟悦来,悦来,3室1厅,100.8平米,南,毛坯,中楼层(共13层),板楼,2人关注,8个月以前发布,渝北区
150,大3房 户型方正  采光很好 可看湖   小区旁有轻轨,218万,"16,892元/平",约克郡阅林景悦,照母山,3室2厅,129.06平米,西南,精装,中楼层(共32层),2017年,8人关注,一年前发布,巴南区
151,鸳鸯轻轨站旁边，端户，双阳台通透,115万,"12,117元/平",中冶北麓原,鸳鸯,2室2厅,94.91平米,南 北,精装,33层,2013年,2人关注,9个月以前发布,巴南区
152,近轻轨，次新小区，人车分流，环境好,83万,"10,375元/平",远洋城,石桥铺,3室2厅,80平米,南,毛坯,33层,2017年,29人关注,一年前发布,渝北区
153,悦来联排别墅端头，带私家花园及两个车位，环境优美,360万,"11,090元/平",望江府白鹭岸,悦来,6室2厅,324.62平米,东南,毛坯,3层,板楼,23人关注,一年前发布,巴南区
154,三房带书房带大阳台 看小区中庭 业主自住保持得不错,165万,"14,823元/平",和泓江山国际,大坪,4室2厅,111.32平米,东南,精装,40层,2017年,6人关注,9个月以前发布,沙坪坝
155,朝中庭，好楼层，视野开阔安静，精装3房,81万,"8,363元/平",重庆融创文旅城御珑,西永,3室2厅,96.86平米,南,精装,高楼层(共25层),板塔结合,0人关注,一年前发布,渝北区
156,北滨路 华润 一线江景端户大1房 精装修 通车库,78万,"13,971元/平",华润中央公园,大石坝,1室1厅,55.83平米,东南 南,精装,33层,2011年,12人关注,6个月以前发布,江北区
157,嘉州三轻轨 品质小区 住家装修拎包入住,110万,"11,112元/平",北城国际中心,龙溪,3室2厅,99平米,东南,精装,高楼层(共33层),2010年,1人关注,5个月以前发布,渝北区
158,急售，长嘉汇少有的看江小户型，视野无遮挡,145万,"16,487元/平",长嘉汇四期,南滨路,2室2厅,87.95平米,西南,毛坯,30层,2016年,2人关注,5个月以前发布,巴南区
159,轨道三亚湾，出行方便，住家装修，视野开阔,93万,"11,518元/平",世茂璀璨天城星斓,汽博中心,3室1厅,80.75平米,西南,精装,高楼层(共32层),塔楼,0人关注,4个月以前发布,巴南区
160,和泓精装三房+YC，随时可以看房,77万,"7,214元/平",和泓四季A区,华岩,3室2厅,106.75平米,东南,精装,中楼层(共31层),2016年,0人关注,5个月以前发布,巴南区
161,顶跃 外圈无遮挡 两个大露台 实得210 无房产税,251万,"15,251元/平",华侨城云溪别院一期,礼嘉,4室1厅,164.58平米,东南,毛坯,高楼层(共8层),2017年,7人关注,一年前发布,巴南区
162,布局合理，户型方正，产权清晰，交易方便，诚心出售,43万,"6,870元/平",钱塘玫瑰湾,两路口,2室2厅,62.6平米,西北,其他,33层,2007年,5人关注,一年前发布,渝北区
163,观音桥商圈鸿恩寺公园次新楼盘看江小两房,78万,"10,525元/平",绿地海外滩摩尔公馆,鸿恩寺,2室1厅,74.11平米,南 北,毛坯,高楼层(共33层),塔楼,10人关注,一年前发布,沙坪坝
164,品质小区清水价格买精装三房两卫电梯房,47万,"5,054元/平",金成源山,观音岩,3室2厅,93平米,东南,精装,高楼层(共25层),塔楼,0人关注,一年前发布,江北区
165,美的金科郡二期   1梯2户   中楼层    清净住家,145万,"10,930元/平",美的金科郡二期,西永,4室2厅,132.67平米,南 北,毛坯,中楼层(共8层),塔楼,2人关注,一年前发布,巴南区
166,次新小区，板式洋房，住家安静，交通便利,83.6万,"9,168元/平",招商雍璟城璟阁,空港新城,3室2厅,91.19平米,南 北,毛坯,中楼层(共8层),暂无数据,0人关注,11个月以前发布,江北区
167,屋顶大花园横厅洋房，业主全新装修,129万,"13,299元/平",同景国际城I组团,茶园新区,3室2厅,97平米,东南,精装,6层,板楼,1人关注,一年前发布,渝北区
168,保利江上明珠 大跃层 视野巴适 望公园 前后花园,328万,"12,940元/平",保利江上明珠朗园,鸿恩寺,5室2厅,253.49平米,南,毛坯,低楼层(共6层),2010年,6人关注,一年前发布,巴南区
169,一线看江！视野开阔改善型三房，精装修拎包入住,109万,"9,186元/平",华宇秋水长天,沙滨路,3室2厅,118.66平米,南 北,精装,中楼层(共45层),2008年,3人关注,一年前发布,江北区
170,单间配套...空气清新............环境好.....,25万,"6,634元/平",上邦高尔夫温泉公馆,白市驿,1室1厅,37.69平米,东南,精装,低楼层(共5层),塔楼,0人关注,6天以前发布,江北区
171,金科御院跃层，精装三房端户，端头户型，业主安心卖,78万,"9,359元/平",金科中央御院三期,茶园新区,3室1厅,83.35平米,南,精装,26层,2016年,1人关注,1个月以前发布,巴南区
172,金科品质楼盘+ 户型方正配套齐全+小区环境优美,52万,"6,007元/平",金科中建集美阳光,跳蹬,3室2厅,86.57平米,南,毛坯,32层,板塔结合,1人关注,11个月以前发布,巴南区
173,户型动静分区，看房方便随时过户,56万,"5,437元/平",银河公园山水,五桥,3室1厅,103平米,东南,精装,中楼层(共29层),板塔结合,0人关注,1个月以前发布,江北区
174,145万带车位 轨道五号线忠恕沱站 滨江公园 品质小区,145万,"12,040元/平",华润中央公园,大石坝,3室2厅,120.44平米,南,精装,33层,2013年,2人关注,1个月以前发布,巴南区
175,此房精装修，户型方正，看房方便，住家安静。,108万,"11,250元/平",金科金辉美院A区,蔡家,3室2厅,96平米,东南,精装,低楼层(共30层),塔楼,1人关注,2个月以前发布,巴南区
176,浦辉海棠晓月C区 2室2厅 东南,69万,"8,762元/平",浦辉海棠晓月C区,南滨路,2室2厅,78.75平米,东南,精装,30层,2008年,0人关注,9天以前发布,巴南区
177,曹家湾 轻轨边  大户型  中间楼层 金科品质,88万,"7,806元/平",集美嘉悦森林海岸,蔡家,3室2厅,112.74平米,南 北,毛坯,高楼层(共23层),2020年,0人关注,一年前发布,沙坪坝
178,精装两房，拎包入住，配套齐全，临区府,66万,"7,927元/平",银翔翡翠谷B区,茶园新区,2室1厅,83.27平米,南,精装,27层,2015年,1人关注,3个月以前发布,江北区
179,金科廊桥天都 2室1厅 东南,32万,"5,817元/平",金科廊桥天都,大学城,2室1厅,55.02平米,东南,精装,16层,2012年,1人关注,20天以前发布,渝北区
